1,516001691261000
1.5,43101061960500
2,8612625936440
2.5,3087163847860
3,1555692633910
3.5,947425499832
4,644364153147
4.5,469249324433
5,357569631260
5.5,281608920002
6,227723503281
6.5,188374024417
7,159026520001
7.5,136804503409
8,119817491776
8.5,106776287562
9,96731312401.4
9.5,88830629724.5
10,600389278.955
15,23640108.1106
20,2077225.07704
25,357510.984679
30,106570.498991
35,44361.0499653
40,22909.9110151
45,13697.4352148
50,9062.76237578
55,6431.46447219
60,4790.52869197
65,3691.61432204
70,2916.41211173
75,2349.08511617
80,1922.94404859
85,1596.64467547
90,1342.95503664
95,1143.12911248
100,983.860856673
150,343.660275698
200,191.196702264
250,131.047804371
300,99.9698521077
350,81.1417205791
400,68.5108610371
450,59.4279918457
500,52.5636579864
550,47.1804502998
600,42.8369079626
650,39.2525506244
700,36.2404095137
750,33.6709111597
800,31.4513200514
850,29.5133952848
900,27.8057871326
950,26.2890634047
1000,24.9324092941
